username,platform,content_type,category,country,influencer_tier,followers,following,posts,avg_likes,avg_comments,avg_shares,avg_views,engagement_rate,date_joined,engagement_quality,follower_category
kimberly09575,Instagram,Video,Fitness,Brazil,Nano,2679,230,3466,302,0,4,0,10.2,2023-01-28,Viral,Nano
kspence390,YouTube,Live,Music,Japan,Nano,5557,2376,2797,463,9,30,5267,7.03,2023-04-05,Viral,Nano
sabrinarodriguez592,Instagram,Carousel,Beauty,Mexico,Nano,1711,261,3110,127,9,9,0,6.54,2024-01-06,Viral,Nano
michael79274,YouTube,Live,Food,India,Micro,47930,41760,3724,4195,442,296,31720,6.78,2024-11-17,Viral,Micro
mike83842,Instagram,Story,Tech,Canada,Macro,271339,14492,4572,1644,77,122,0,0.62,2023-08-23,Low,Macro
brittanymatthews765,Instagram,Carousel,Gaming,Germany,Nano,6155,1270,3768,279,19,20,0,5.48,2023-09-27,High,Nano
csantiago395,Facebook,Reel,Sports,Japan,Micro,28131,5108,908,2218,64,29,0,7.84,2023-03-07,Viral,Micro
rogersjennifer996,Twitter,Story,Education,Canada,Nano,1188,796,2195,43,1,3,0,3.32,2023-09-27,High,Nano
stephaniecole614,Facebook,Image,Music,USA,Macro,412942,10687,3073,4378,309,104,0,0.88,2023-01-01,Low,Macro
angelajackson487,TikTok,Reel,Fashion,USA,Mega,6159230,4635,3991,135105,5956,6716,533000,2.6,2024-11-06,Medium,Mega
ryanvilla922,Facebook,Image,Fitness,Canada,Macro,543692,46823,1657,6117,690,384,0,0.88,2024-03-24,Low,Macro
larrywilson881,Facebook,Reel,Food,Brazil,Nano,6539,681,68,376,28,19,0,8.08,2023-02-02,Viral,Nano
robertadams675,TikTok,Video,Music,Brazil,Nano,8953,4081,3882,733,24,55,7221,9.89,2023-04-10,Viral,Nano
marisa39460,Twitter,Carousel,Gaming,Japan,Micro,17100,11218,3308,313,37,5,0,1.66,2024-07-03,Medium,Micro
xparker417,YouTube,Reel,Tech,Germany,Micro,19880,583,4438,743,78,36,2680,3.87,2023-06-20,High,Micro
barnettmelissa678,Twitter,Reel,Travel,Japan,Mega,3762152,18794,3737,44309,5251,1265,0,1.27,2024-07-23,Medium,Mega
bridgessusan59,Twitter,Image,Travel,Germany,Nano,1958,202,478,53,3,3,0,2.62,2023-06-11,Medium,Nano
tyronerandolph598,Facebook,Video,Tech,USA,Micro,98501,16235,4676,8367,505,635,0,6.98,2024-11-04,Viral,Micro
athomas637,Facebook,Story,Beauty,Germany,Nano,6147,3845,2467,67,3,3,0,1.31,2024-04-14,Medium,Nano
dreynolds627,Facebook,Video,Food,Canada,Nano,5345,3127,2011,329,18,4,0,7.91,2023-11-06,Viral,Nano
kevintaylor209,Facebook,Video,Music,Germany,Mega,2737893,48755,886,135590,4532,2451,0,3.92,2023-12-18,High,Mega
staffordnicole575,TikTok,Story,Education,Germany,Mega,1852264,41853,1081,3777,235,110,11491,0.27,2024-03-13,Low,Mega
wsellers216,Instagram,Video,Food,UK,Micro,58393,23997,2535,4093,142,77,0,6.68,2024-01-02,Viral,Micro
upowell802,YouTube,Live,Food,France,Macro,526117,11703,1341,6689,635,0,39069,0.99,2023-12-07,Low,Macro
kennethmccoy25,Twitter,Live,Travel,Germany,Nano,2771,1985,1644,168,4,7,0,6.55,2023-08-17,Viral,Nano
urocha595,YouTube,Reel,Beauty,Germany,Macro,910891,21802,4402,26628,2240,1011,393396,3.37,2023-07-02,High,Macro
rberg704,TikTok,Video,Food,Mexico,Micro,51114,16793,1567,2566,303,46,35395,5.22,2024-07-05,High,Micro
uwallace131,YouTube,Carousel,Gaming,USA,Mega,6539837,20369,4164,122904,10611,2301,1696144,1.75,2024-07-21,Medium,Mega
aklein524,YouTube,Reel,Gaming,UK,Micro,49446,39858,4761,2435,251,76,13446,5.22,2023-08-07,High,Micro
kaylagriffin626,Twitter,Live,Tech,USA,Nano,6491,1940,2552,336,38,8,0,6.85,2024-05-01,Viral,Nano
shelbyoconnor181,Instagram,Reel,Gaming,Mexico,Nano,7291,6251,55,575,25,32,0,7.92,2023-08-13,Viral,Nano
swilliams437,Facebook,Reel,Fashion,Canada,Nano,2988,2538,4588,316,31,17,0,10.86,2024-05-31,Viral,Nano
williamsshawn279,Facebook,Reel,Tech,Australia,Micro,42406,41174,3979,3022,144,194,0,5.92,2023-08-29,High,Micro
jamesrhodes927,TikTok,Carousel,Music,USA,Nano,4788,4545,2720,199,7,4,1587,4.49,2024-02-03,High,Nano
barbara28500,Facebook,Live,Fashion,Mexico,Micro,10772,8918,3442,809,40,30,0,5.94,2023-08-14,High,Micro
michelle9428,YouTube,Carousel,Gaming,Australia,Nano,6507,5197,1055,307,30,18,4017,4.29,2024-11-09,High,Nano
williamsonmaria259,Instagram,Live,Gaming,UK,Macro,290556,22218,2687,6258,362,155,0,2.95,2024-03-07,Medium,Macro
sharpaustin157,Instagram,Reel,Fashion,Canada,Nano,6733,6278,339,353,0,27,0,6.29,2024-09-28,Viral,Nano
browntrevor590,YouTube,Image,Education,USA,Micro,38569,10832,948,396,18,14,4067,1.05,2023-11-16,Medium,Micro
james33439,Twitter,Reel,Travel,USA,Micro,92213,8033,4928,4819,432,149,0,6.18,2024-06-29,Viral,Micro
lisabrooks277,TikTok,Video,Music,France,Nano,7882,5894,3776,986,30,76,10478,10.49,2024-10-28,Viral,Nano
robertmiller685,Facebook,Story,Education,Australia,Micro,87656,18379,719,1403,147,95,0,1.86,2024-09-16,Medium,Micro
jerry8188,Twitter,Carousel,Fashion,,Macro,290672,39169,2300,5827,323,163,0,2.02,2023-07-15,Medium,Macro
kristine63378,YouTube,Live,Gaming,Australia,Micro,41499,19383,772,2122,179,94,26557,4.59,2024-08-18,High,Micro
qstevens974,Twitter,Story,Music,France,Micro,82140,15208,2069,73,6,2,0,0.1,2024-07-02,Low,Micro
ian67998,YouTube,Image,Travel,Australia,Nano,9595,3039,2966,302,35,20,1979,2.98,2023-02-16,Medium,Nano
jeffreyrussell117,Instagram,Story,Fitness,UK,Micro,74340,28966,3931,622,13,18,0,1.1,2024-05-04,Medium,Micro
xhogan611,Instagram,Reel,Education,USA,Micro,99974,5682,2499,5277,184,260,0,7.21,2024-09-12,Viral,Micro
darrell10641,Facebook,Image,Music,Japan,Micro,68028,40799,4668,1822,143,72,0,3.05,2023-08-01,High,Micro
lynnmatthew704,YouTube,Carousel,Food,UK,Nano,2229,1048,277,64,3,3,552,3.64,2023-03-14,High,Nano
lauracarroll450,YouTube,Carousel,Sports,Brazil,Micro,81376,10973,498,2955,103,84,13908,4.35,2023-10-23,High,Micro
anthonypierce857,Instagram,Reel,Fitness,Japan,Mega,9396529,48238,3549,142404,9081,7385,0,1.48,2024-11-21,Medium,Mega
ageorge419,Facebook,Story,Fashion,Germany,Micro,32962,28666,1496,271,23,20,0,0.84,2023-12-23,Low,Micro
